iso_2_pair,geo_iso_2,partner_iso_2,year,ip_export,is_cfc,cfc_tax,all_tax,geo_gdp,partner_gdp,patent_collab_count,geo_innovation_input,partner_innovation_input,geo_innovation_output,partner_innovation_output
CZ-AT,CZ,AT,2010,1.7999999999999998,0,25.0,25.0,209069940963.177,391892746544.69,1.7999999999999998,63.57142857142857,71.42857142857143,44.285714285714285,48.857142857142854
CZ-AT,CZ,AT,2010,1.7999999999999998,0,25.0,25.0,209069940963.177,391892746544.69,3.8,63.57142857142857,71.42857142857143,44.285714285714285,48.857142857142854
DE-AT,DE,AT,2010,,1,25.0,25.0,3396354075663.73,391892746544.69,819.8,72.71428571428571,71.42857142857143,50.857142857142854,48.857142857142854
DE-AT,DE,AT,2010,,1,25.0,25.0,3396354075663.73,391892746544.69,810.8,72.71428571428571,71.42857142857143,50.857142857142854,48.857142857142854
DK-AT,DK,AT,2010,0.8,1,25.0,25.0,321995279401.502,391892746544.69,1.7999999999999998,78.0,71.42857142857143,57.0,48.857142857142854
DK-AT,DK,AT,2010,0.8,1,25.0,25.0,321995279401.502,391892746544.69,2.8,78.0,71.42857142857143,57.0,48.857142857142854
EE-AT,EE,AT,2010,,1,25.0,25.0,19685038567.3462,391892746544.69,0.8,67.28571428571429,71.42857142857143,40.142857142857146,48.857142857142854
GR-AT,GR,AT,2010,,0,25.0,25.0,296835346570.223,391892746544.69,0.8,55.857142857142854,71.42857142857143,37.857142857142854,48.857142857142854
FI-AT,FI,AT,2010,,1,25.0,25.0,249181190476.369,391892746544.69,29.799999999999997,77.42857142857143,71.42857142857143,55.714285714285715,48.857142857142854
FI-AT,FI,AT,2010,,1,25.0,25.0,249181190476.369,391892746544.69,29.799999999999997,77.42857142857143,71.42857142857143,55.714285714285715,48.857142857142854
FR-AT,FR,AT,2010,,1,34.42989,34.42989,2642609548930.36,391892746544.69,39.8,70.57142857142858,71.42857142857143,49.285714285714285,48.857142857142854
FR-AT,FR,AT,2010,,1,34.42989,34.42989,2642609548930.36,391892746544.69,37.8,70.57142857142858,71.42857142857143,49.285714285714285,48.857142857142854
HR-AT,HR,AT,2010,,0,25.0,25.0,59918313669.1671,391892746544.69,0.8,54.42857142857143,71.42857142857143,39.42857142857143,48.857142857142854
HU-AT,HU,AT,2010,,1,25.0,25.0,131916516051.985,391892746544.69,6.800000000000001,59.85714285714287,71.42857142857143,41.42857142857143,48.857142857142854
HU-AT,HU,AT,2010,,1,25.0,25.0,131916516051.985,391892746544.69,5.800000000000001,59.85714285714287,71.42857142857143,41.42857142857143,48.857142857142854
IE-AT,IE,AT,2010,,0,25.0,25.0,222071182064.214,391892746544.69,2.8,70.71428571428571,71.42857142857143,51.285714285714285,48.857142857142854
IE-AT,IE,AT,2010,,0,25.0,25.0,222071182064.214,391892746544.69,1.7999999999999998,70.71428571428571,71.42857142857143,51.285714285714285,48.857142857142854
IT-AT,IT,AT,2010,0.8,1,25.12,25.12,2134017843247.16,391892746544.69,38.8,56.42857142857143,71.42857142857143,42.57142857142857,48.857142857142854
IT-AT,IT,AT,2010,0.8,1,25.12,25.12,2134017843247.16,391892746544.69,37.8,56.42857142857143,71.42857142857143,42.57142857142857,48.857142857142854
LT-AT,LT,AT,2010,0.8,1,25.0,25.0,37128694028.243,391892746544.69,1.7999999999999998,60.285714285714285,71.42857142857143,38.142857142857146,48.857142857142854
LT-AT,LT,AT,2010,0.8,1,25.0,25.0,37128694028.243,391892746544.69,1.7999999999999998,60.285714285714285,71.42857142857143,38.142857142857146,48.857142857142854
LV-AT,LV,AT,2010,0.8,0,25.0,25.0,23869752327.3325,391892746544.69,1.7999999999999998,57.57142857142857,71.42857142857143,36.57142857142857,48.857142857142854
LV-AT,LV,AT,2010,0.8,0,25.0,25.0,23869752327.3325,391892746544.69,1.7999999999999998,57.57142857142857,71.42857142857143,36.57142857142857,48.857142857142854
NL-AT,NL,AT,2010,,1,25.5,25.5,846554894931.084,391892746544.69,30.799999999999997,73.42857142857143,71.42857142857143,58.57142857142856,48.857142857142854
NL-AT,NL,AT,2010,,1,25.5,25.5,846554894931.084,391892746544.69,30.799999999999997,73.42857142857143,71.42857142857143,58.57142857142856,48.857142857142854
PL-AT,PL,AT,2010,0.8,0,25.0,25.0,479834179020.33,391892746544.69,1.7999999999999998,56.857142857142854,71.42857142857143,36.714285714285715,48.857142857142854
PL-AT,PL,AT,2010,0.8,0,25.0,25.0,479834179020.33,391892746544.69,1.7999999999999998,56.857142857142854,71.42857142857143,36.714285714285715,48.857142857142854
RO-AT,RO,AT,2010,,0,25.0,25.0,166309355234.589,391892746544.69,0.8,54.42857142857143,71.42857142857143,37.714285714285715,48.857142857142854
SE-AT,SE,AT,2010,0.8,1,25.0,25.0,495812558843.31,391892746544.69,29.799999999999997,79.14285714285714,71.42857142857143,59.42857142857143,48.857142857142854
SE-AT,SE,AT,2010,0.8,1,25.0,25.0,495812558843.31,391892746544.69,30.799999999999997,79.14285714285714,71.42857142857143,59.42857142857143,48.857142857142854
SI-AT,SI,AT,2010,0.8,0,25.0,25.0,48161250405.2468,391892746544.69,7.800000000000001,64.57142857142857,71.42857142857143,43.857142857142854,48.857142857142854
SI-AT,SI,AT,2010,0.8,0,25.0,25.0,48161250405.2468,391892746544.69,7.800000000000001,64.57142857142857,71.42857142857143,43.857142857142854,48.857142857142854
SK-AT,SK,AT,2010,,0,25.0,25.0,90310718349.0156,391892746544.69,7.800000000000001,58.285714285714285,71.42857142857143,41.0,48.857142857142854
SK-AT,SK,AT,2010,,0,25.0,25.0,90310718349.0156,391892746544.69,8.8,58.285714285714285,71.42857142857143,41.0,48.857142857142854
AT-AU,AT,AU,2010,,0,30.0,30.0,391892746544.69,1146138465603.81,31.799999999999997,71.42857142857143,72.0,48.857142857142854,50.285714285714285
AT-AU,AT,AU,2010,,0,30.0,30.0,391892746544.69,1146138465603.81,35.8,71.42857142857143,72.0,48.857142857142854,50.285714285714285
BE-AU,BE,AU,2010,,0,30.0,30.0,480951629493.033,1146138465603.81,16.799999999999997,70.71428571428571,72.0,52.57142857142857,50.285714285714285
BE-AU,BE,AU,2010,,0,30.0,30.0,480951629493.033,1146138465603.81,20.799999999999997,70.71428571428571,72.0,52.57142857142857,50.285714285714285
BG-AU,BG,AU,2010,0.8,0,30.0,30.0,50381825504.2642,1146138465603.81,0.8,54.142857142857146,72.0,39.142857142857146,50.285714285714285
CY-AU,CY,AU,2010,0.8,0,30.0,30.0,25732432719.0773,1146138465603.81,2.8,62.42857142857143,72.0,40.57142857142857,50.285714285714285
CY-AU,CY,AU,2010,0.8,0,30.0,30.0,25732432719.0773,1146138465603.81,1.7999999999999998,62.42857142857143,72.0,40.57142857142857,50.285714285714285
CZ-AU,CZ,AU,2010,0.8,0,30.0,30.0,209069940963.177,1146138465603.81,0.8,63.57142857142857,72.0,44.285714285714285,50.285714285714285
DK-AU,DK,AU,2010,0.8,1,30.0,30.0,321995279401.502,1146138465603.81,27.799999999999997,78.0,72.0,57.0,50.285714285714285
DK-AU,DK,AU,2010,0.8,1,30.0,30.0,321995279401.502,1146138465603.81,29.799999999999997,78.0,72.0,57.0,50.285714285714285
EE-AU,EE,AU,2010,,1,30.0,30.0,19685038567.3462,1146138465603.81,0.8,67.28571428571429,72.0,40.142857142857146,50.285714285714285
GR-AU,GR,AU,2010,,0,30.0,30.0,296835346570.223,1146138465603.81,0.8,55.857142857142854,72.0,37.857142857142854,50.285714285714285
FI-AU,FI,AU,2010,,1,30.0,30.0,249181190476.369,1146138465603.81,6.800000000000001,77.42857142857143,72.0,55.714285714285715,50.285714285714285
FI-AU,FI,AU,2010,,1,30.0,30.0,249181190476.369,1146138465603.81,6.800000000000001,77.42857142857143,72.0,55.714285714285715,50.285714285714285
FR-AU,FR,AU,2010,,1,34.42989,34.42989,2642609548930.36,1146138465603.81,40.8,70.57142857142858,72.0,49.285714285714285,50.285714285714285
FR-AU,FR,AU,2010,,1,34.42989,34.42989,2642609548930.36,1146138465603.81,51.8,70.57142857142858,72.0,49.285714285714285,50.285714285714285
HR-AU,HR,AU,2010,,0,30.0,30.0,59918313669.1671,1146138465603.81,0.8,54.42857142857143,72.0,39.42857142857143,50.285714285714285
HU-AU,HU,AU,2010,0.8,1,30.0,30.0,131916516051.985,1146138465603.81,2.8,59.85714285714287,72.0,41.42857142857143,50.285714285714285
HU-AU,HU,AU,2010,0.8,1,30.0,30.0,131916516051.985,1146138465603.81,1.7999999999999998,59.85714285714287,72.0,41.42857142857143,50.285714285714285
IE-AU,IE,AU,2010,,0,30.0,30.0,222071182064.214,1146138465603.81,8.8,70.71428571428571,72.0,51.285714285714285,50.285714285714285
IE-AU,IE,AU,2010,,0,30.0,30.0,222071182064.214,1146138465603.81,10.8,70.71428571428571,72.0,51.285714285714285,50.285714285714285
IT-AU,IT,AU,2010,0.8,1,30.0,30.0,2134017843247.16,1146138465603.81,19.799999999999997,56.42857142857143,72.0,42.57142857142857,50.285714285714285
IT-AU,IT,AU,2010,0.8,1,30.0,30.0,2134017843247.16,1146138465603.81,19.799999999999997,56.42857142857143,72.0,42.57142857142857,50.285714285714285
LT-AU,LT,AU,2010,0.8,1,30.0,30.0,37128694028.243,1146138465603.81,0.8,60.285714285714285,72.0,38.142857142857146,50.285714285714285
LV-AU,LV,AU,2010,0.8,0,30.0,30.0,23869752327.3325,1146138465603.81,0.8,57.57142857142857,72.0,36.57142857142857,50.285714285714285
NL-AU,NL,AU,2010,,1,30.0,30.0,846554894931.084,1146138465603.81,37.8,73.42857142857143,72.0,58.57142857142856,50.285714285714285
NL-AU,NL,AU,2010,,1,30.0,30.0,846554894931.084,1146138465603.81,46.8,73.42857142857143,72.0,58.57142857142856,50.285714285714285
PL-AU,PL,AU,2010,0.8,0,30.0,30.0,479834179020.33,1146138465603.81,0.8,56.857142857142854,72.0,36.714285714285715,50.285714285714285
RO-AU,RO,AU,2010,,0,30.0,30.0,166309355234.589,1146138465603.81,0.8,54.42857142857143,72.0,37.714285714285715,50.285714285714285
SE-AU,SE,AU,2010,0.8,1,30.0,30.0,495812558843.31,1146138465603.81,31.799999999999997,79.14285714285714,72.0,59.42857142857143,50.285714285714285
SE-AU,SE,AU,2010,0.8,1,30.0,30.0,495812558843.31,1146138465603.81,34.8,79.14285714285714,72.0,59.42857142857143,50.285714285714285
SI-AU,SI,AU,2010,0.8,0,30.0,30.0,48161250405.2468,1146138465603.81,0.8,64.57142857142857,72.0,43.857142857142854,50.285714285714285
SK-AU,SK,AU,2010,,0,30.0,30.0,90310718349.0156,1146138465603.81,1.7999999999999998,58.285714285714285,72.0,41.0,50.285714285714285
SK-AU,SK,AU,2010,,0,30.0,30.0,90310718349.0156,1146138465603.81,1.7999999999999998,58.285714285714285,72.0,41.0,50.285714285714285
AT-BE,AT,BE,2010,,0,33.99,33.99,391892746544.69,480951629493.033,29.799999999999997,71.42857142857143,70.71428571428571,48.857142857142854,52.57142857142857
AT-BE,AT,BE,2010,,0,33.99,33.99,391892746544.69,480951629493.033,28.799999999999997,71.42857142857143,70.71428571428571,48.857142857142854,52.57142857142857
BG-BE,BG,BE,2010,0.8,0,33.99,33.99,50381825504.2642,480951629493.033,5.800000000000001,54.142857142857146,70.71428571428571,39.142857142857146,52.57142857142857
BG-BE,BG,BE,2010,0.8,0,33.99,33.99,50381825504.2642,480951629493.033,3.8,54.142857142857146,70.71428571428571,39.142857142857146,52.57142857142857
CY-BE,CY,BE,2010,0.8,0,33.99,33.99,25732432719.0773,480951629493.033,0.8,62.42857142857143,70.71428571428571,40.57142857142857,52.57142857142857
CZ-BE,CZ,BE,2010,2.4,0,33.99,33.99,209069940963.177,480951629493.033,3.8,63.57142857142857,70.71428571428571,44.285714285714285,52.57142857142857
CZ-BE,CZ,BE,2010,2.4,0,33.99,33.99,209069940963.177,480951629493.033,8.8,63.57142857142857,70.71428571428571,44.285714285714285,52.57142857142857
DE-BE,DE,BE,2010,,1,33.99,33.99,3396354075663.73,480951629493.033,393.79999999999995,72.71428571428571,70.71428571428571,50.857142857142854,52.57142857142857
DE-BE,DE,BE,2010,,1,33.99,33.99,3396354075663.73,480951629493.033,397.79999999999995,72.71428571428571,70.71428571428571,50.857142857142854,52.57142857142857
DK-BE,DK,BE,2010,0.8,1,33.99,33.99,321995279401.502,480951629493.033,9.8,78.0,70.71428571428571,57.0,52.57142857142857
DK-BE,DK,BE,2010,0.8,1,33.99,33.99,321995279401.502,480951629493.033,9.8,78.0,70.71428571428571,57.0,52.57142857142857
EE-BE,EE,BE,2010,,1,33.99,33.99,19685038567.3462,480951629493.033,0.8,67.28571428571429,70.71428571428571,40.142857142857146,52.57142857142857
GR-BE,GR,BE,2010,,0,33.99,33.99,296835346570.223,480951629493.033,7.800000000000001,55.857142857142854,70.71428571428571,37.857142857142854,52.57142857142857
GR-BE,GR,BE,2010,,0,33.99,33.99,296835346570.223,480951629493.033,7.800000000000001,55.857142857142854,70.71428571428571,37.857142857142854,52.57142857142857
FI-BE,FI,BE,2010,,1,33.99,33.99,249181190476.369,480951629493.033,17.799999999999997,77.42857142857143,70.71428571428571,55.714285714285715,52.57142857142857
FI-BE,FI,BE,2010,,1,33.99,33.99,249181190476.369,480951629493.033,14.8,77.42857142857143,70.71428571428571,55.714285714285715,52.57142857142857
FR-BE,FR,BE,2010,,1,34.42989,34.42989,2642609548930.36,480951629493.033,503.79999999999995,70.57142857142858,70.71428571428571,49.285714285714285,52.57142857142857
FR-BE,FR,BE,2010,,1,34.42989,34.42989,2642609548930.36,480951629493.033,475.79999999999995,70.57142857142858,70.71428571428571,49.285714285714285,52.57142857142857
HR-BE,HR,BE,2010,,0,33.99,33.99,59918313669.1671,480951629493.033,0.8,54.42857142857143,70.71428571428571,39.42857142857143,52.57142857142857
HU-BE,HU,BE,2010,0.8,1,33.99,33.99,131916516051.985,480951629493.033,7.800000000000001,59.85714285714287,70.71428571428571,41.42857142857143,52.57142857142857
HU-BE,HU,BE,2010,0.8,1,33.99,33.99,131916516051.985,480951629493.033,8.8,59.85714285714287,70.71428571428571,41.42857142857143,52.57142857142857
IE-BE,IE,BE,2010,,0,33.99,33.99,222071182064.214,480951629493.033,7.800000000000001,70.71428571428571,70.71428571428571,51.285714285714285,52.57142857142857
IE-BE,IE,BE,2010,,0,33.99,33.99,222071182064.214,480951629493.033,4.800000000000001,70.71428571428571,70.71428571428571,51.285714285714285,52.57142857142857
IT-BE,IT,BE,2010,0.9,1,33.99,33.99,2134017843247.16,480951629493.033,57.8,56.42857142857143,70.71428571428571,42.57142857142857,52.57142857142857
IT-BE,IT,BE,2010,0.9,1,33.99,33.99,2134017843247.16,480951629493.033,56.8,56.42857142857143,70.71428571428571,42.57142857142857,52.57142857142857
LT-BE,LT,BE,2010,0.8,1,33.99,33.99,37128694028.243,480951629493.033,0.8,60.285714285714285,70.71428571428571,38.142857142857146,52.57142857142857
LV-BE,LV,BE,2010,0.8,0,33.99,33.99,23869752327.3325,480951629493.033,0.8,57.57142857142857,70.71428571428571,36.57142857142857,52.57142857142857
NL-BE,NL,BE,2010,,1,33.99,33.99,846554894931.084,480951629493.033,394.79999999999995,73.42857142857143,70.71428571428571,58.57142857142856,52.57142857142857
NL-BE,NL,BE,2010,,1,33.99,33.99,846554894931.084,480951629493.033,408.79999999999995,73.42857142857143,70.71428571428571,58.57142857142856,52.57142857142857
PL-BE,PL,BE,2010,0.8,0,33.99,33.99,479834179020.33,480951629493.033,10.8,56.857142857142854,70.71428571428571,36.714285714285715,52.57142857142857
PL-BE,PL,BE,2010,0.8,0,33.99,33.99,479834179020.33,480951629493.033,9.8,56.857142857142854,70.71428571428571,36.714285714285715,52.57142857142857
RO-BE,RO,BE,2010,,0,33.99,33.99,166309355234.589,480951629493.033,0.8,54.42857142857143,70.71428571428571,37.714285714285715,52.57142857142857
SE-BE,SE,BE,2010,0.8,1,33.99,33.99,495812558843.31,480951629493.033,40.8,79.14285714285714,70.71428571428571,59.42857142857143,52.57142857142857
SE-BE,SE,BE,2010,0.8,1,33.99,33.99,495812558843.31,480951629493.033,38.8,79.14285714285714,70.71428571428571,59.42857142857143,52.57142857142857
SI-BE,SI,BE,2010,0.8,0,33.99,33.99,48161250405.2468,480951629493.033,1.7999999999999998,64.57142857142857,70.71428571428571,43.857142857142854,52.57142857142857
SI-BE,SI,BE,2010,0.8,0,33.99,33.99,48161250405.2468,480951629493.033,1.7999999999999998,64.57142857142857,70.71428571428571,43.857142857142854,52.57142857142857
SK-BE,SK,BE,2010,,0,33.99,33.99,90310718349.0156,480951629493.033,1.7999999999999998,58.285714285714285,70.71428571428571,41.0,52.57142857142857
SK-BE,SK,BE,2010,,0,33.99,33.99,90310718349.0156,480951629493.033,1.7999999999999998,58.285714285714285,70.71428571428571,41.0,52.57142857142857
AT-BG,AT,BG,2010,,0,10.0,10.0,391892746544.69,50381825504.2642,0.8,71.42857142857143,54.142857142857146,48.857142857142854,39.142857142857146
BE-BG,BE,BG,2010,0.8,0,10.0,10.0,480951629493.033,50381825504.2642,3.8,70.71428571428571,54.142857142857146,52.57142857142857,39.142857142857146
BE-BG,BE,BG,2010,0.8,0,10.0,10.0,480951629493.033,50381825504.2642,5.800000000000001,70.71428571428571,54.142857142857146,52.57142857142857,39.142857142857146
CY-BG,CY,BG,2010,0.8,0,10.0,10.0,25732432719.0773,50381825504.2642,0.8,62.42857142857143,54.142857142857146,40.57142857142857,39.142857142857146
CZ-BG,CZ,BG,2010,0.9,0,10.0,10.0,209069940963.177,50381825504.2642,0.8,63.57142857142857,54.142857142857146,44.285714285714285,39.142857142857146
DE-BG,DE,BG,2010,,1,25.0,25.0,3396354075663.73,50381825504.2642,31.799999999999997,72.71428571428571,54.142857142857146,50.857142857142854,39.142857142857146
DE-BG,DE,BG,2010,,1,25.0,25.0,3396354075663.73,50381825504.2642,31.799999999999997,72.71428571428571,54.142857142857146,50.857142857142854,39.142857142857146
DK-BG,DK,BG,2010,0.8,1,25.0,25.0,321995279401.502,50381825504.2642,0.8,78.0,54.142857142857146,57.0,39.142857142857146
EE-BG,EE,BG,2010,,1,10.0,10.0,19685038567.3462,50381825504.2642,2.8,67.28571428571429,54.142857142857146,40.142857142857146,39.142857142857146
EE-BG,EE,BG,2010,,1,10.0,10.0,19685038567.3462,50381825504.2642,2.8,67.28571428571429,54.142857142857146,40.142857142857146,39.142857142857146
GR-BG,GR,BG,2010,,0,10.0,10.0,296835346570.223,50381825504.2642,0.8,55.857142857142854,54.142857142857146,37.857142857142854,39.142857142857146
FI-BG,FI,BG,2010,,1,20.8,20.8,249181190476.369,50381825504.2642,0.8,77.42857142857143,54.142857142857146,55.714285714285715,39.142857142857146
FR-BG,FR,BG,2010,,1,34.42989,34.42989,2642609548930.36,50381825504.2642,3.8,70.57142857142858,54.142857142857146,49.285714285714285,39.142857142857146
FR-BG,FR,BG,2010,,1,34.42989,34.42989,2642609548930.36,50381825504.2642,4.800000000000001,70.57142857142858,54.142857142857146,49.285714285714285,39.142857142857146
HR-BG,HR,BG,2010,,0,10.0,10.0,59918313669.1671,50381825504.2642,0.8,54.42857142857143,54.142857142857146,39.42857142857143,39.142857142857146
HU-BG,HU,BG,2010,0.8,1,10.0,10.0,131916516051.985,50381825504.2642,0.8,59.85714285714287,54.142857142857146,41.42857142857143,39.142857142857146
IE-BG,IE,BG,2010,,0,10.0,10.0,222071182064.214,50381825504.2642,2.8,70.71428571428571,54.142857142857146,51.285714285714285,39.142857142857146
IE-BG,IE,BG,2010,,0,10.0,10.0,222071182064.214,50381825504.2642,1.7999999999999998,70.71428571428571,54.142857142857146,51.285714285714285,39.142857142857146
IT-BG,IT,BG,2010,0.8,1,25.12,25.12,2134017843247.16,50381825504.2642,3.8,56.42857142857143,54.142857142857146,42.57142857142857,39.142857142857146
IT-BG,IT,BG,2010,0.8,1,25.12,25.12,2134017843247.16,50381825504.2642,3.8,56.42857142857143,54.142857142857146,42.57142857142857,39.142857142857146
LT-BG,LT,BG,2010,0.8,1,15.0,15.0,37128694028.243,50381825504.2642,0.8,60.285714285714285,54.142857142857146,38.142857142857146,39.142857142857146
LV-BG,LV,BG,2010,0.8,0,10.0,10.0,23869752327.3325,50381825504.2642,0.8,57.57142857142857,54.142857142857146,36.57142857142857,39.142857142857146
NL-BG,NL,BG,2010,,1,25.5,25.5,846554894931.084,50381825504.2642,3.8,73.42857142857143,54.142857142857146,58.57142857142856,39.142857142857146
NL-BG,NL,BG,2010,,1,25.5,25.5,846554894931.084,50381825504.2642,3.8,73.42857142857143,54.142857142857146,58.57142857142856,39.142857142857146
PL-BG,PL,BG,2010,0.8,0,10.0,10.0,479834179020.33,50381825504.2642,1.7999999999999998,56.857142857142854,54.142857142857146,36.714285714285715,39.142857142857146
PL-BG,PL,BG,2010,0.8,0,10.0,10.0,479834179020.33,50381825504.2642,1.7999999999999998,56.857142857142854,54.142857142857146,36.714285714285715,39.142857142857146
RO-BG,RO,BG,2010,,0,10.0,10.0,166309355234.589,50381825504.2642,0.8,54.42857142857143,54.142857142857146,37.714285714285715,39.142857142857146
SE-BG,SE,BG,2010,0.8,1,21.040000000000003,21.040000000000003,495812558843.31,50381825504.2642,0.8,79.14285714285714,54.142857142857146,59.42857142857143,39.142857142857146
SI-BG,SI,BG,2010,0.8,0,10.0,10.0,48161250405.2468,50381825504.2642,0.8,64.57142857142857,54.142857142857146,43.857142857142854,39.142857142857146
SK-BG,SK,BG,2010,,0,10.0,10.0,90310718349.0156,50381825504.2642,0.8,58.285714285714285,54.142857142857146,41.0,39.142857142857146
AT-BR,AT,BR,2010,,0,34.0,34.0,391892746544.69,2208871646202.82,2.8,71.42857142857143,51.714285714285715,48.857142857142854,33.14285714285714
AT-BR,AT,BR,2010,,0,34.0,34.0,391892746544.69,2208871646202.82,2.8,71.42857142857143,51.714285714285715,48.857142857142854,33.14285714285714
BE-BR,BE,BR,2010,0.8,0,34.0,34.0,480951629493.033,2208871646202.82,2.8,70.71428571428571,51.714285714285715,52.57142857142857,33.14285714285714
BE-BR,BE,BR,2010,0.8,0,34.0,34.0,480951629493.033,2208871646202.82,5.800000000000001,70.71428571428571,51.714285714285715,52.57142857142857,33.14285714285714
